School_ID,Finance_ID,Short_Name,Long_Name,Is_High_School,Is_Middle_School,Is_Elementary_School,Is_Pre_School,Summary,Administrator_Title,Administrator,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Grades_Offered_All,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Statistics_Description,Demographic_Description,School_Hours,Freshman_Start_End_Time,After_School_Hours,Classroom_Languages,Rating_Status,Open_For_Enrollment_Date
400176,63144,EXCEL SOUTHWEST HS,Excel Academy Southwest,TRUE,TRUE,FALSE,FALSE,<p>http://cameloteducation.org/excel-academy-of-southwest/</p>,Principal,Jake Benke,7050 S WASHTENAW AVE,Chicago,Illinois,60629,7734240721,7734240746,https://www.cps.edu/schools/schoolprofiles/400176,https://sesischools.com/locations/excel-academy-of-southwest,"8,9,10,11,12",151,118,29,16,105,41,0,0,0,0,0,3,2,0,There are 151 students enrolled at EXCEL SOUTHWEST HS.  78.1% are Low Income Students.  19.2% are Diverse Learners.  10.6% are Limited English Learners.,The largest demographic at EXCEL SOUTHWEST HS is Black.  This demographic makes up 69.5% of the student population.  The second greatest demographic is Hispanic at 27.2%.,8:00AM - 3:30 PM,N/A,N/A,n/a,GOOD STANDING,7/1/2014
609709,46141,GAGE PARK HS,Gage Park High School,TRUE,FALSE,FALSE,FALSE,"<p><strong>Gage Park HS Vision:</strong> By fostering a culture that celebrates our cultural differences and builds strong relationships between members of the Gage Park School Community, Gage Park High School aims to mold the minds of young people and develop their capacity to be able to serve as world citizens. Within these walls, the school community will maintain high expectations for all stakeholders.&nbsp; Reflection and data based decision making will be the driving force to actively adjust to the needs of the school community until our ambitious goals are achieved.</p>  <p>  <br />  <br />  <strong>Gage Park High School Mission</strong> is to invest in our future by working collaboratively to implement suitable programs to prepare students to excel in their future endeavors as it relates to college and technical careers.<br />  <br />  <br />  <strong>CORE &nbsp;VALUES</strong><br />  <br />  RESPECT</p>  <p>INTEGRITY</p>  <p>ACCOUNTABILITY&nbsp;</p>  <p>EXCELLENCE</p>",Principal,Anna M Taglia,5630 S ROCKWELL ST,Chicago,Illinois,60629,7735359230,7735359411,https://www.cps.edu/schools/schoolprofiles/609709,https://gageparkhs.org,"9,10,11,12",347,294,65,136,103,239,3,0,0,0,0,1,1,0,There are 347 students enrolled at GAGE PARK HS.  84.7% are Low Income Students.  18.7% are Diverse Learners.  39.2% are Limited English Learners.,The largest demographic at GAGE PARK HS is Hispanic.  This demographic makes up 68.9% of the student population.  The second greatest demographic is Black at 29.7%.,8:30AMAM - 3:26PM,8:30AMAM - 3:26PM,3:30PM-5:30PM,"Spanish, Spanish for Heritage Speakers",INTENSIVE SUPPORT,9/1/2004
610057,26701,FAIRFIELD,Fairfield Elementary Academy,FALSE,TRUE,TRUE,TRUE,"Fairfield provides a state-of-the-art computer lab and enjoys fruitful partnerships with Jenner and Block Law Offices, Urban Gateways, Within the Schools, SouthWest Organizing Project and St. Rita Parish. At Fairfield teachers make instructional decisions based on data and student results. We provide ample opportunities for students to be successful in school.",Principal,Claudia Lopez,6201 S FAIRFIELD AVE,Chicago,Illinois,60629,7735359500,7735350438,https://www.cps.edu/schools/schoolprofiles/610057,https://fairfieldacademy.org,"PK,K,1,2,3,4,5,6,7,8",470,393,65,280,73,394,1,0,0,0,0,2,0,0,There are 470 students enrolled at FAIRFIELD.  83.6% are Low Income Students.  13.8% are Diverse Learners.  59.6% are Limited English Learners.,The largest demographic at FAIRFIELD is Hispanic.  This demographic makes up 83.8% of the student population.  The second greatest demographic is Black at 15.5%.,7:45 AM-2:45 PM,N/A,3:00PM-4:00PM,Spanish,GOOD STANDING,9/1/2004
610006,23911,HURLEY,Edward N Hurley Elementary School,FALSE,TRUE,TRUE,TRUE,"<p>Hurley is a Fine and Performing Arts Magnet Cluster School. It offers a wide variety of academic programs including Chicago Math &amp; Science Academy, Comprehensive Gifted Program (CGP), fine arts enrichment, Science on the Go, Algebra classes, Mandarin language program, and violin classes for its students.</p>  <p>&nbsp;</p>",Principal,Angel Aguirre,3849 W 69TH PL,Chicago,Illinois,60629,7735352068,7735352059,https://www.cps.edu/schools/schoolprofiles/610006,http://hurley.cps.edu,"PK,K,1,2,3,4,5,6,7,8",703,548,96,348,8,683,5,0,7,0,0,0,0,0,There are 703 students enrolled at HURLEY.  78% are Low Income Students.  13.7% are Diverse Learners.  49.5% are Limited English Learners.,The largest demographic at HURLEY is Hispanic.  This demographic makes up 97.2% of the student population.  The second greatest demographic is Black at 1.1%.,08:00 AM-03:00 PM,N/A,3:00pm-5:45pm,"Mandarin,Spanish",GOOD STANDING,9/1/2004
610226,26721,SANDOVAL,Socorro Sandoval Elementary School,FALSE,FALSE,TRUE,TRUE,"At Sandoval we are committed to providing a safe, nurturing, and academically challenging environment that inspires and prepares all children to attain excellence.<br />  <br />  Our vision is to have every student engaged in a rigorous, well rounded instructional program that will lead to graduation and preparation for college, career, and life.",Principal,Wilma Milagros David,5534 S SAINT LOUIS AVE,Chicago,Illinois,60629,7735350457,7735350467,https://www.cps.edu/schools/schoolprofiles/610226,https://sandovalelementary.org,"PK,K,1,2,3,4,5",720,583,64,526,12,691,10,0,7,0,0,0,0,0,There are 720 students enrolled at SANDOVAL.  81% are Low Income Students.  8.9% are Diverse Learners.  73.1% are Limited English Learners.,The largest demographic at SANDOVAL is Hispanic.  This demographic makes up 96% of the student population.  The second greatest demographic is Black at 1.7%.,08:15 AM-03:15 PM,N/A,"3:30 PM- 5:00 PM, M-Th",Spanish,GOOD STANDING,9/1/2004
610067,24451,MCKAY,Francis M McKay Elementary School,FALSE,TRUE,TRUE,TRUE,"McKay is a community school that places a strong focus on reading, math, science, and writing. Early Childhood, PBIS, and AVID strategy supports are in place to help provide our students optimal learning opportunities in preparation for academic success and higher education. Technology is integrated into the curriculum across content areas.",Principal,Aundre L Hayes,6901 S FAIRFIELD AVE,Chicago,Illinois,60629,7735359340,7735359443,https://www.cps.edu/schools/schoolprofiles/610067,https://mckayschool.org,"PK,K,1,2,3,4,5,6,7,8",613,435,100,180,361,235,11,0,2,0,0,3,1,0,There are 613 students enrolled at MCKAY.  71% are Low Income Students.  16.3% are Diverse Learners.  29.4% are Limited English Learners.,The largest demographic at MCKAY is Black.  This demographic makes up 58.9% of the student population.  The second greatest demographic is Hispanic at 38.3%.,08:15 AM-03:15 PM,N/A,3:30 PM - 6:00 PM,n/a,GOOD STANDING,9/1/2004
609898,23041,EBERHART,John F Eberhart Elementary School,FALSE,TRUE,TRUE,TRUE,"<p>Eberhart School prepares ALL our students for success in college, career, and civic life. Our Dual Language Education Program produces students who are multilingual, multiliterate, and multicultural. Our learning community provides a rigorous, standards-based curriculum, with an emphasis on fine and performing arts, in a safe and engaging learning environment. Building upon our students&rsquo; linguistic and cultural capital improves students&rsquo; social-emotional confidence, narrows the achievement gap, and empowers responsible and productive global citizens.</p>  <p>Eberhart scholars are multilingual, multiliterate, and multicultural lifelong learners and problem solvers. They engage in rigorous, multilingual content and achieve at high academic levels, preparing them for participation in a global society. Eberhart scholars are confident, compassionate, collaborative citizens who make a positive impact on all levels of society.</p>",Principal,Nneka Hawanya Gunn,3400 W 65TH PL,Chicago,Illinois,60629,7735359190,7735359494,https://www.cps.edu/schools/schoolprofiles/609898,http://eberhart.cps.edu,"PK,K,1,2,3,4,5,6,7,8",1003,831,110,507,24,958,17,0,2,0,0,2,0,0,There are 1003 students enrolled at EBERHART.  82.9% are Low Income Students.  11% are Diverse Learners.  50.5% are Limited English Learners.,The largest demographic at EBERHART is Hispanic.  This demographic makes up 95.5% of the student population.  The second greatest demographic is Black at 2.4%.,08:30 AM-03:30 PM,N/A,3:30 PM-5:15 PM,Spanish,GOOD STANDING,9/1/2004
610117,24851,PASTEUR,Louis Pasteur Elementary School,FALSE,FALSE,TRUE,TRUE,"Pasteur School is a community school recognized for promoting excellence in learning for all students through the utilization of differentiated instruction and the integration of literature and writing across the curriculum. Partnerships include Ravinia, Museums, and Universities all of which enhance the educational experience of our students. Go Eagles!",Principal,Gerardo B Trujillo,5825 S KOSTNER AVE,Chicago,Illinois,60629,7735352270,7735352235,https://www.cps.edu/schools/schoolprofiles/610117,https://pasteurschool.org,"PK,K,1,2,3,4",627,437,107,231,15,596,9,1,2,0,0,4,0,0,There are 627 students enrolled at PASTEUR.  69.7% are Low Income Students.  17.1% are Diverse Learners.  36.8% are Limited English Learners.,The largest demographic at PASTEUR is Hispanic.  This demographic makes up 95.1% of the student population.  The second greatest demographic is Black at 2.4%.,8:15 AM-3:15 PM Main,N/A,N/A,Spanish,GOOD STANDING,9/1/2004
610203,25631,MONARCAS,Monarcas Academy,FALSE,FALSE,TRUE,TRUE,"<p>Monarcas Academy takes the academic success of every student seriously. We engage our students in high-level research during reading, science, and math. We focus on creating lifelong learners who enjoy reading for learning and for pleasure. Monarcas School partners with parents and community organizations to ensure a nourishing, healthy, and safe school environment.</p>",Principal,Gerardo Arriaga,5815 S HOMAN AVE,Chicago,Illinois,60629,7735359280,7735350470,https://www.cps.edu/schools/schoolprofiles/610203,https://tontischool.com,"PK,K,1,2,3,4,5",802,592,125,431,17,766,13,0,4,0,0,0,0,2,There are 802 students enrolled at MONARCAS.  73.8% are Low Income Students.  15.6% are Diverse Learners.  53.7% are Limited English Learners.,The largest demographic at MONARCAS is Hispanic.  This demographic makes up 95.5% of the student population.  The second greatest demographic is Black at 2.1%.,08:00 AM-03:00 PM,N/A,3:00 p.m. - 5:30 p.m.,Spanish,GOOD STANDING,9/1/2004
610291,26331,LEE,Richard Henry Lee Elementary School,FALSE,TRUE,TRUE,FALSE,Richard Henry Lee elementary first opened its doors in the West Lawn neighborhood in 1949. There has been much growth and many program changes since then. We are now a Level 1 school offering students personalized learning experiences and various before and after school opportunities through our partnership with CPS Community Schools Initiative.&nbsp;,Principal,Lisa Ann Epstein,6448 S TRIPP AVE,Chicago,Illinois,60629,7735352255,7735352287,https://www.cps.edu/schools/schoolprofiles/610291,https://leelions.org,"K,1,2,3,4,5,6,7,8",578,483,96,159,9,566,3,0,0,0,0,0,0,0,There are 578 students enrolled at LEE.  83.6% are Low Income Students.  16.6% are Diverse Learners.  27.5% are Limited English Learners.,The largest demographic at LEE is Hispanic.  This demographic makes up 97.9% of the student population.  The second greatest demographic is Black at 1.6%.,08:15 AM-03:15 PM,N/A,N/A,N/A,GOOD STANDING,9/1/2004
610120,24871,PECK,Ferdinand Peck Elementary School,FALSE,FALSE,TRUE,TRUE,"<p>Peck Elementary School strives to educate the whole child within a diverse community. We continue to develop a successful and comprehensive educational program that provides cultural diversity, individuality, and intellectual achievements where every child is provided with instructional building blocks, with a focus on STEM curriculum, to develop lifelong learners and 21st century global citizens.&nbsp; Peck students will become critical thinking problem solvers who work collaboratively to improve the world around them.&nbsp;</p>",Principal,Okab Taleb Hassan,3826 W 58TH ST,Chicago,Illinois,60629,7735352450,7735352228,https://www.cps.edu/schools/schoolprofiles/610120,https://peckelementary.org,"PK,K,1,2,3,4",752,557,88,478,8,732,11,0,0,0,0,0,0,1,There are 752 students enrolled at PECK.  74.1% are Low Income Students.  11.7% are Diverse Learners.  63.6% are Limited English Learners.,The largest demographic at PECK is Hispanic.  This demographic makes up 97.3% of the student population.  The second greatest demographic is White at 1.5%.,8:15 AM - 3:15 PM,N/A,3:30 PM - 5:00 PM (Not After-Care),Spanish,GOOD STANDING,9/1/2004
610396,26791,TARKINGTON,Tarkington School of Excellence ES,FALSE,TRUE,TRUE,TRUE,"Our mission is to foster a welcoming community of culturally-diverse individuals who empower themselves and others by engaging in authentic learning experiences, which cultivate critical thinking and leadership, in order to create a better tomorrow for themselves and the world.&nbsp;Tarkington is proud to be an Academy of Urban School Leadership Resident Training site.",Principal,Claudia Cristina Ortiz,3330 W 71ST ST,Chicago,Illinois,60629,7735354700,7735354713,https://www.cps.edu/schools/schoolprofiles/610396,https://tarkington.cps.edu,"PK,K,1,2,3,4,5,6,7,8",851,709,142,343,152,689,5,3,1,0,0,1,0,0,There are 851 students enrolled at TARKINGTON.  83.3% are Low Income Students.  16.7% are Diverse Learners.  40.3% are Limited English Learners.,The largest demographic at TARKINGTON is Hispanic.  This demographic makes up 81% of the student population.  The second greatest demographic is Black at 17.9%.,08:15 AM-03:15 PM,N/A,N/A,Spanish,GOOD STANDING,9/1/2005
610077,24571,MORRILL,Donald Morrill Math & Science Elementary School,FALSE,TRUE,TRUE,TRUE,<p>Morrill School is located in the Chicago Lawn Community.&nbsp; We educate the whole child and we are committed to providing a student- centered learning environment.&nbsp; Our students are immersed in learning experiences at school and we strive to ensure that our students have learning experiences outside of the traditional school setting.&nbsp; Our school community is focused on closing the opportunity gap for our students by providing rigorous instruction in a nurturing environment.&nbsp; Our goal is to produce responsible leaders who can have a positive impact on our global society.&nbsp; </p>  <p>We recognized we can not do this work alone and we have partnered with the following organizations:</p>  <p>Beverly Arts-Performing Arts Education</p>  <p>Big Green- Learning Garden</p>  <p>City Year-In school mentoring and tutoring</p>  <p>Community In Schools-providing learning opportunities outside of the classroom during the school day</p>  <p>Metropolitian Family Services-after school programs</p>  <p>Pilot Light</p>  <p>South West Organizing Project-Teen Reach and Parent Mentors</p>,Principal,Dawn Antionette Sydnor,6011 S ROCKWELL ST,Chicago,Illinois,60629,7735359288,7735359214,https://www.cps.edu/schools/schoolprofiles/610077,https://morrilleagles.org,"PK,K,1,2,3,4,5,6,7,8",496,412,63,236,138,351,5,0,2,0,0,0,0,0,There are 496 students enrolled at MORRILL.  83.1% are Low Income Students.  12.7% are Diverse Learners.  47.6% are Limited English Learners.,The largest demographic at MORRILL is Hispanic.  This demographic makes up 70.8% of the student population.  The second greatest demographic is Black at 27.8%.,08:00 AM-03:00 PM,N/A,03:00 PM - 06:00 PM,"Spanish, Spanish for Heritage Speakers",PROVISIONAL SUPPORT,9/1/2004
400115,66433,CATALYST - MARIA,Catalyst - Maria Charter School,TRUE,TRUE,TRUE,FALSE,"<span style=""font-size: 14px; font-family: montserrat; white-space: normal; word-spacing: 0px; text-transform: none; float: none; font-weight: normal; color: #383838; font-style: normal; display: inline !important; letter-spacing: normal; background-color: #ffffff; text-indent: 0px; font-variant-ligatures: normal; font-variant-caps: normal; -webkit-text-stroke-width: 0px;"">Catalyst Maria Charter School is a dynamic, vibrant school community serving Kindergarten-12th Grade in Chicago's Chicago Lawn neighborhood.&nbsp; Catalyst Maria is guided by a mission of providing college-preparatory and values-based education that allows scholars to thrive in their academic and social-emotional growth.</span>",Director,Dawn Donati Martin,6727 S CALIFORNIA AVE,Chicago,Illinois,60629,7739931770,7739931771,https://www.cps.edu/schools/schoolprofiles/400115,https://catalystschools.org/maria,"K,1,2,3,4,5,6,7,8,9,10,11,12",544,477,70,133,271,254,8,0,2,0,0,5,0,4,There are 544 students enrolled at CATALYST - MARIA.  87.7% are Low Income Students.  12.9% are Diverse Learners.  24.4% are Limited English Learners.,The largest demographic at CATALYST - MARIA is Black.  This demographic makes up 49.8% of the student population.  The second greatest demographic is Hispanic at 46.7%.,7:45 AM - 3:40 PM,Mon - Thurs 7:45 am - 3:40 pm; Fri 7:45 am - 12:55 pm,N/A,Spanish,NOT APPLICABLE,7/1/2012
610589,23521,SOR JUANA,Sor Juana Ines de la Cruz ES,FALSE,TRUE,TRUE,TRUE,"Sor Juana Elementary School&nbsp;is a one-of-a-kind school community that strives to provide rigorous, engaging instruction that supports the unique talents, skills, and interests of each student. With both Classical and STEAM programs, we focus on teaching the whole child in an academically advanced environment and aim to create a community that promotes collaboration, communication, critical thinking, and creativity while celebrating the diversity of the students, families, staff, and community.&nbsp;",Principal,Megan E Kehr,4034 W 56TH,Chicago,Illinois,60629,7735358280,7735358286,https://www.cps.edu/schools/schoolprofiles/610589,https://sorjuana.cps.edu,"PK,K,1,2,3,4,5,6,7",489,218,35,100,15,441,29,1,1,0,0,2,0,0,There are 489 students enrolled at SOR JUANA.  44.6% are Low Income Students.  7.2% are Diverse Learners.  20.4% are Limited English Learners.,The largest demographic at SOR JUANA is Hispanic.  This demographic makes up 90.2% of the student population.  The second greatest demographic is White at 5.9%.,7:45 AM - 2:45 PM,N/A,TBD,N/A,GOOD STANDING,6/29/2018
610544,22921,AZUELA,Mariano Azuela Elementary School,FALSE,TRUE,TRUE,FALSE,"Using a rigorous and cohesive writing and literature curriculum as its foundation, all students at Mariano Azuela are continuously exposed to academic and socially enriching experiences that will prepare them for the challenges of the 21st century and will assist them in becoming successful citizens in their own unique ways.",Principal,Carmen Navarro,4707 W MARQUETTE RD,Chicago,Illinois,60629,7735357395,7735357397,https://www.cps.edu/schools/schoolprofiles/610544,http://azuela.cps.edu,"K,1,2,3,4,5,6,7,8",697,498,106,309,4,680,7,0,3,0,0,3,0,0,There are 697 students enrolled at AZUELA.  71.4% are Low Income Students.  15.2% are Diverse Learners.  44.3% are Limited English Learners.,The largest demographic at AZUELA is Hispanic.  This demographic makes up 97.6% of the student population.  The second greatest demographic is White at 1%.,08:00 AM - 03:00 PM,N/A,N/A,"Korean, Spanish",GOOD STANDING,7/1/2010
610588,23381,RICHARDSON,Robert J. Richardson Middle School,FALSE,TRUE,TRUE,FALSE,Richardson,Principal,Marie Agnes Clouston,6018 S KARLOV,Chicago,Illinois,60629,7735358640,7735358010,https://www.cps.edu/schools/schoolprofiles/610588,http://richardson.cps.edu,"5,6,7,8",840,774,113,315,11,822,5,1,0,0,0,1,0,0,There are 840 students enrolled at RICHARDSON.  92.1% are Low Income Students.  13.5% are Diverse Learners.  37.5% are Limited English Learners.,The largest demographic at RICHARDSON is Hispanic.  This demographic makes up 97.9% of the student population.  The second greatest demographic is Black at 1.3%.,8:30 AM - 3:30 PM,N/A,N/A,Spanish,GOOD STANDING,1/1/2017
610053,24341,MARQUETTE,Marquette Elementary School,FALSE,TRUE,TRUE,TRUE,Marquette offers the International Baccalaureate (IB) Middle Years Programme (MYP). Students in the IB Programme learn Spanish and Arabic. The school has a fully functional science lab and two computer labs. Marquette enjoys community partnerships with Southwest Organizing Project (SWOP).,Principal,Michael A Marzano,6550 S RICHMOND ST,Chicago,Illinois,60629,7735359260,7735359266,https://www.cps.edu/schools/schoolprofiles/610053,https://marquettemustangs.org/,"PK,K,1,2,3,4,5,6,7,8",1006,807,164,410,314,669,17,0,0,0,0,3,2,1,There are 1006 students enrolled at MARQUETTE.  80.2% are Low Income Students.  16.3% are Diverse Learners.  40.8% are Limited English Learners.,The largest demographic at MARQUETTE is Hispanic.  This demographic makes up 66.5% of the student population.  The second greatest demographic is Black at 31.2%.,08:00 AM-03:00 PM,N/A,3:00 PM - 4:30 PM,Spanish,GOOD STANDING,9/1/2004
609741,46341,HUBBARD HS,Gurdon S Hubbard High School,TRUE,FALSE,FALSE,FALSE,Hubbard is a diverse student and faculty community with an international atmosphere and variety of during and after school programs that strives to achieve student academic and emotional growth.,Principal,Angelica Altamirano,6200 S HAMLIN AVE,Chicago,Illinois,60629,7735352200,7735352218,https://www.cps.edu/schools/schoolprofiles/609741,https://www.hubbardhighschool.org,"9,10,11,12",1666,1504,224,509,63,1569,24,0,6,0,0,3,0,1,There are 1666 students enrolled at HUBBARD HS.  90.3% are Low Income Students.  13.4% are Diverse Learners.  30.6% are Limited English Learners.,The largest demographic at HUBBARD HS is Hispanic.  This demographic makes up 94.2% of the student population.  The second greatest demographic is Black at 3.8%.,8:00 am - 3:08 pm,8:00 am - 3:08 pm,03:30 pm - 7:00 pm,Spanish,GOOD STANDING,9/1/2004
609842,22601,CARSON,Rachel Carson Elementary School,FALSE,TRUE,TRUE,TRUE,"Carson is an Independent School Principal. Carson School offers Dual Language and Spanish World Language Magnet Programs, Computer Science For All program&nbsp;and a variety of educational opportunities including science, music, visual arts, band, algebra, and service-learning programs. Carson partners with several organizations including Reading in Motion, Merit School of Music, Urban Gateways, and Communities in Schools of&nbsp;&nbsp;Chicago. &nbsp;National-Louis University contributes to enhance the balanced literacy curriculum.",Principal,Javier Arriola-Lopez,5516 S MAPLEWOOD AVE,Chicago,Illinois,60629,7735359222,7735359635,https://www.cps.edu/schools/schoolprofiles/609842,https://carson.cps.edu,"PK,K,1,2,3,4,5,6,7,8",748,600,66,518,20,720,3,1,2,0,0,2,0,0,There are 748 students enrolled at CARSON.  80.2% are Low Income Students.  8.8% are Diverse Learners.  69.3% are Limited English Learners.,The largest demographic at CARSON is Hispanic.  This demographic makes up 96.3% of the student population.  The second greatest demographic is Black at 2.7%.,07:45 AM-02:45 PM,N/A,02:45 PM - 05:45 PM,"Spanish, Spanish for Heritage Speakers",GOOD STANDING,9/1/2004
